codeValue,description,namespace,shortDescription
At/Above Benchmark,At/Above Benchmark,uri://renaissance.com/PerformanceLevelDescriptor,At/Above Benchmark
At/Above,At/Above,uri://renaissance.com/PerformanceLevelDescriptor,At/Above
Intervention,Intervention,uri://renaissance.com/PerformanceLevelDescriptor,Intervention
On Watch,On Watch,uri://renaissance.com/PerformanceLevelDescriptor,On Watch
Urgent Intervention,Urgent Intervention,uri://renaissance.com/PerformanceLevelDescriptor,Urgent Intervention
At Benchmark,At Benchmark,uri://renaissance.com/PerformanceLevelDescriptor,At Benchmark
Above Benchmark,Above Benchmark,uri://renaissance.com/PerformanceLevelDescriptor,Above Benchmark
Below Benchmark,Below Benchmark,uri://renaissance.com/PerformanceLevelDescriptor,Below Benchmark
Yes,Yes,uri://renaissance.com/PerformanceLevelDescriptor,Yes
No,No,uri://renaissance.com/PerformanceLevelDescriptor,No
Early Emergent Reader,Early Emergent Reader,uri://renaissance.com/PerformanceLevelDescriptor,Early Emergent Reader
Early Transitional Reader,Early Transitional Reader,uri://renaissance.com/PerformanceLevelDescriptor,Early Transitional Reader
Late Emergent Reader,Late Emergent Reader,uri://renaissance.com/PerformanceLevelDescriptor,Late Emergent Reader
Late Transitional Reader,Late Transitional Reader,uri://renaissance.com/PerformanceLevelDescriptor,Late Transitional Reader
Probable Reader,Probable Reader,uri://renaissance.com/PerformanceLevelDescriptor,Probable Reader
0,0,uri://renaissance.com/PerformanceLevelDescriptor,0
1,1,uri://renaissance.com/PerformanceLevelDescriptor,1
2,2,uri://renaissance.com/PerformanceLevelDescriptor,2
3,3,uri://renaissance.com/PerformanceLevelDescriptor,3
4,4,uri://renaissance.com/PerformanceLevelDescriptor,4
5,5,uri://renaissance.com/PerformanceLevelDescriptor,5
Level 1,Level 1,uri://renaissance.com/PerformanceLevelDescriptor,Level 1
Level 2,Level 2,uri://renaissance.com/PerformanceLevelDescriptor,Level 2
Level 3,Level 3,uri://renaissance.com/PerformanceLevelDescriptor,Level 3
Level 4,Level 4,uri://renaissance.com/PerformanceLevelDescriptor,Level 4
Level 5,Level 5,uri://renaissance.com/PerformanceLevelDescriptor,Level 5
Beginning,Beginning,uri://renaissance.com/PerformanceLevelDescriptor,Beginning
Developing,Developing,uri://renaissance.com/PerformanceLevelDescriptor,Developing
Secure,Secure,uri://renaissance.com/PerformanceLevelDescriptor,Secure
Did Not Yet Meet Expectations,Did Not Yet Meet Expectations,uri://renaissance.com/PerformanceLevelDescriptor,Did Not Yet Meet Expectations
Approached Expectations,Approached Expectations,uri://renaissance.com/PerformanceLevelDescriptor,Approached Expectations
Partially Met Expectations,Partially Met Expectations,uri://renaissance.com/PerformanceLevelDescriptor,Partially Met Expectations
Met Expectations,Met Expectations,uri://renaissance.com/PerformanceLevelDescriptor,Met Expectations
Exceeded Expectations,Exceeded Expectations,uri://renaissance.com/PerformanceLevelDescriptor,Exceeded Expectations
